seqname	group	gate-1_norm-percent	gate-2_norm-percent	gate-3_norm-percent	gate-4_norm-percent	gate-5_norm-percent	gate-1_norm-count	gate-2_norm-count	gate-3_norm-count	gate-4_norm-count	gate-5_norm-count	corrected-p	enriched-gate
FP016917_BCL9L_3	promoter	27.12837816609801	21.434271459719632	15.237484841058896	19.924346673201505	16.27551885992196	1.4391333333333334	1.1370666666666667	0.8083333333333333	1.0569666666666666	0.8634	1.0	0
FP008755_FBXO38_1	promoter	25.16324696720084	14.908641605511455	31.316459487793917	16.058109929609106	12.553542009884676	1.1201	0.6636333333333333	1.394	0.7148	0.5588	1.0	0
FP025326_UBA52_1	promoter	8.903431888122784	27.623388259125083	38.7861789567995	1.8059288691519613	22.88107202680067	0.7618666666666667	2.3637333333333332	3.3189333333333333	0.15453333333333333	1.9579333333333333	1.0	0
FP004151_PHOSPHO2_1	promoter	17.575850706004882	37.219348119312265	18.86435941652865	12.58800161632718	13.75244014182702	1.0294	2.1799	1.1048666666666667	0.7372666666666666	0.8054666666666667	1.0	0
FP001460_PIFO_2	promoter	19.060773480662984	39.93879319683675	8.21254468638284	13.911818871194887	18.876069764922544	1.173	2.4578333333333333	0.5054	0.8561333333333333	1.1616333333333333	1.0	0
FP017908_DNAJC14_1	promoter	24.24986293176494	23.38508697602552	30.907017893635054	4.155659672033096	17.302372526541397	1.2973999999999999	1.2511333333333332	1.6535666666666666	0.22233333333333333	0.9257	1.0	0
FP003506_CCT7_1	promoter	16.164721976876233	26.02320345860368	8.273952225048314	17.724015646064245	31.814106693407535	0.8113666666666667	1.3062	0.4153	0.8896333333333333	1.5968666666666667	1.0	0
FP023873_KCTD2_2	promoter	28.429311509873116	35.6708461596216	10.749680906975	4.5592762219385845	20.590885201591718	0.5048666666666667	0.6334666666666666	0.19090000000000001	0.08096666666666667	0.3656666666666667	1.0	0
FP009382_GTF2H4_1	promoter	17.476558412813397	15.280091754195341	45.74429554509236	10.522757455028373	10.976296832870538	2.895166666666667	2.5313	7.578	1.7432	1.8183333333333334	1.0	0
FP010114_GPR63_1	promoter	26.142474360158925	18.509347377498536	18.115125196341126	8.230004003819028	29.003049062182384	1.4147	1.0016333333333334	0.9803000000000001	0.4453666666666667	1.5695	1.0	0
FP003690_CIAO1_1	promoter	20.5238637540118	38.77937674707526	10.7547365151672	18.668599233875142	11.273423749870586	0.6607999999999999	1.2485666666666666	0.34626666666666667	0.6010666666666666	0.36296666666666666	1.0	0
FP005438_MAPKAPK3_2	promoter	47.80822371690799	28.499718365859316	7.158477187634604	4.531824657897352	12.001756071700738	1.9238666666666666	1.1468666666666667	0.28806666666666664	0.18236666666666665	0.48296666666666666	1.0	0
FP008448_AFF4_2	promoter	51.9678110990449	28.077297914404248	5.1491103500125295	2.6603179906997463	12.145462645838553	3.110533333333333	1.6805666666666665	0.3082	0.15923333333333334	0.7269666666666666	1.0	0
FP011662_GCC1_1	promoter	18.676945799368763	40.412701847139445	25.444616390481606	2.9402772355467333	12.52545872746344	1.3235666666666668	2.8639	1.8031666666666666	0.20836666666666667	0.8876333333333334	1.0	0
FP010292_C6orf58_3	promoter	21.758356849853087	33.10350177949747	19.33203386378844	4.079752518934436	21.726354987926573	0.7479	1.1378666666666666	0.6645	0.14023333333333335	0.7468	1.0	0
FP001534_ATP1A1_1	promoter	38.00801410482449	24.258374739541594	7.312710370251642	16.505209168135917	13.915691617246354	1.9761	1.2612333333333334	0.3802	0.8581333333333333	0.7235	1.0	0
