seqname	type	rep1	rep2	rep3
FP029297_TENM1_2	promoter	5161626	6058741	7559807
FP003344_RPS27A_2	promoter	3802985	4278529	5125303
FP001593_TXNIP_1	promoter	3215863	3656909	4454708
FP001594_TXNIP_2	promoter	3055373	3471519	4201988
FP011322_ASNS_1	promoter	2339076	2767689	3351884
FP014975_KAZALD1_5	promoter	1619353	1892126	2305185
FP016114_NXF1_1	promoter	1485488	1661955	2005949
FP026161_BCL2L12_2	promoter	1218333	1384783	1661983
FP024822_SAFB_1	promoter	1181730	1315507	1541621
FP011679_HILPDA_1	promoter	913850	1070292	1269709
FP029542_RPL10_2	promoter	802777	902489	1082352
FP015643_LDHA_1	promoter	789236	889616	1034068
FP005387_IP6K1_1	promoter	608612	699497	847026
FP009577_BRD2_1	promoter	558501	666581	871838
FP011095_CRCP_2	promoter	525277	617583	765211
FP018125_MDM2_1	promoter	433195	506692	634251
FP002632_ATF3_1	promoter	423730	1238176	1439800
FP021895_HERPUD1_1	promoter	345438	403206	479765
FP009511_NELFE_1	promoter	296281	335680	410141
FP012669_RPL30_2	promoter	280641	318715	394406
FP010289_CENPW_2	promoter	271683	323282	402926
FP013102_SNAPC3_2	promoter	268824	309264	365878
FP018243_BTG1_1	promoter	252348	286431	349312
FP008931_NPM1_1	promoter	250361	294014	362797
FP027276_RAE1_2	promoter	243315	288528	364270
FP010796_TRA2A_1	promoter	202726	237273	287146
FP013461_CKS2_1	promoter	164170	192013	228436
FP023562_COL1A1_1	promoter	163189	195806	238798
FP024025_EIF4A3_1	promoter	156678	177699	217322
FP014557_CDK1_1	promoter	153398	175847	220663
FP003134_IFT172_1	promoter	137803	157307	193976
FP020658_CILP_2	promoter	134913	159785	205642
FP015142_CACUL1_1	promoter	130634	151718	183941
FP007601_CLCN3_1	promoter	129370	156176	184383
FP009680_SRSF3_1	promoter	121703	140602	170926
FP005950_MCM2_1	promoter	115662	134222	154918
FP028761_UBA1_1	promoter	112062	127923	155761
FP008312_KCNN2_2	promoter	111296	128280	164437
FP029320_AIFM1_1	promoter	108642	126650	154564
FP007009_COX18_1	promoter	103780	118612	143655
FP019830_ACYP1_1	promoter	103706	121695	144999
FP013676_DNAJC25_1	promoter	100231	118456	140184
FP017483_BHLHE41_4	promoter	99270	115412	139304
FP005334_IP6K2_1	promoter	98811	119013	142315
FP000737_CTPS1_1	promoter	98682	113646	135195
FP025623_ZNF571_2	promoter	98364	113733	138573
FP017065_PRDM10_3	promoter	95131	113827	143888
FP015814_TP53I11_3	promoter	92038	108362	137290
FP028871_SMC1A_1	promoter	91309	103185	126736
FP011126_BAZ1B_1	promoter	90402	105133	125892
FP013277_CLTA_1	promoter	87582	100539	118194
FP009639_ANKS1A_1	promoter	86915	102967	125873
FP002721_SRP9_1	promoter	84189	94588	112692
FP018822_USPL1_1	promoter	83815	98529	116336
FP011493_RASA4B_2	promoter	83545	94272	113296
FP004697_NCL_1	promoter	83396	226594	258330
FP022540_KIAA0753_1	promoter	80624	92317	112785
FP001794_CHTOP_2	promoter	79442	92736	114661
FP022541_MED31_1	promoter	78948	91768	112393
FP001251_LRRC8D_4	promoter	78406	94271	110958
FP000224_CLCN6_1	promoter	77418	92853	110393
FP019007_CKAP2_1	promoter	75908	89664	107514
FP018274_METAP2_1	promoter	75598	88423	106671
FP005351_IMPDH2_1	promoter	73937	82299	100880
FP027194_KCNB1_1	promoter	73744	82377	98773
FP015158_MCMBP_2	promoter	73150	83117	101803
FP010338_RPS12_1	promoter	72863	87087	109490
FP026578_RPS5_1	promoter	72026	83173	102618
FP004570_CTDSP1_2	promoter	71706	84637	104900
FP024821_SAFB2_1	promoter	70231	79342	95768
FP011971_UBE3C_1	promoter	69062	81314	94349
FP024922_RPS28_1	promoter	68053	80754	98012
FP019755_SMOC1_1	promoter	67449	80044	96864
FP028796_TBC1D25_1	promoter	66671	204257	426709
FP012624_RBM12B_1	promoter	65596	77428	95406
FP018051_METTL1_1	promoter	65244	75315	92719
FP020765_NPTN_2	promoter	64100	75844	88347
FP001146_FUBP1_1	promoter	62737	75739	95065
FP003389_MDH1_1	promoter	62503	76236	96075
FP023027_ZNF207_1	promoter	61067	73388	91552
FP014020_REXO4_1	promoter	60057	70313	85019
FP018587_PSMD9_1	promoter	59178	69650	81133
FP020884_ST20_1	promoter	58502	70432	83950
FP001793_CHTOP_1	promoter	58500	66876	82054
FP024067_MRPL12_3	promoter	58492	67478	82743
FP013834_RPL12_1	promoter	58285	66085	80030
FP005386_GMPPB_1	promoter	58210	67004	78699
FP027010_DSN1_1	promoter	58059	67902	80901
FP028990_GCNA_1	promoter	58035	69466	86298
FP000444_TMEM50A_1	promoter	56778	65249	79290
FP029541_RPL10_1	promoter	54864	60648	72857
FP005359_CCDC71_1	promoter	54844	66041	80180
FP029472_NSDHL_1	promoter	54515	64131	78686
FP027605_WRB_2	promoter	53083	64467	78707
FP017974_PTGES3_1	promoter	52876	61402	77812
FP020067_WDR25_3	promoter	52635	60700	72512
FP008973_KIAA1191_1	promoter	52366	60712	72987
FP015207_FAM53B_5	promoter	52252	58823	71522
FP003199_LTBP1_1	promoter	51985	61408	74779
FP009357_GNL1_1	promoter	51683	59213	71389
FP022594_GPS2_5	promoter	51507	60277	74198
FP005161_TTC21A_1	promoter	50870	59640	69150
FP027678_RRP1_1	promoter	50492	56702	65573
FP000470_ZNF593_1	promoter	49709	56912	66980
FP022458_PELP1_1	promoter	49192	56686	67295
FP014013_RPL7A_1	promoter	48062	56361	68268
FP021200_TELO2_1	promoter	47782	55392	65781
FP028439_TRABD_2	promoter	47412	55057	65923
FP012959_GPAA1_1	promoter	46976	53694	62645
FP001949_SMG5_1	promoter	46908	56214	70523
FP002867_EXO1_1	promoter	46514	53989	65006
FP000512_STX12_1	promoter	45770	54235	63497
FP028458_SBF1_2	promoter	45238	56268	66056
FP017915_PYM1_3	promoter	44925	53174	64111
FP008653_PCDHGB4_2	promoter	44869	51301	61175
FP025215_AP1M1_1	promoter	44853	50148	61071
FP011461_ACHE_3	promoter	44823	52878	62212
FP011459_SRRT_1	promoter	44310	52637	63881
FP011586_IFRD1_1	promoter	44266	51624	63683
FP011514_POLR2J2_1	promoter	44113	53690	63245
FP023997_TK1_1	promoter	43975	51236	61707
FP019964_LGMN_1	promoter	43947	51000	60515
FP022494_SPAG7_3	promoter	43308	48401	57956
FP021986_C16orf70_1	promoter	42981	49611	58130
FP027154_NCOA5_1	promoter	42669	50074	57930
FP018806_POMP_1	promoter	42528	49728	59022
FP026345_ZNF331_4	promoter	42454	47253	55027
FP027691_C21orf2_1	promoter	42383	49578	57616
FP003926_SMPD4_1	promoter	42344	49211	60034
FP023828_SLC39A11_3	promoter	41433	52301	66532
FP018191_SYT1_3	promoter	41398	48993	60296
FP014134_LRRC26_3	promoter	41139	44992	52987
FP003479_NAGK_2	promoter	40964	47095	55659
FP012415_RPS20_1	promoter	40424	46216	55524
FP011847_CNTNAP2_2	promoter	40307	49084	57461
FP026473_ZNF580_5	promoter	39943	47917	58600
FP028649_SAT1_1	promoter	39942	47974	58120
FP022500_KIF1C_2	promoter	39578	47083	59262
FP012172_TNFRSF10C_1	promoter	39496	48089	60739
FP022110_AARS_1	promoter	39270	44067	52963
FP018612_RSRC2_1	promoter	39124	44376	55101
FP026597_MZF1_1	promoter	38688	44917	53023
FP027729_YBEY_1	promoter	38183	45503	54009
FP020649_SPG21_2	promoter	38075	42414	50755
FP012921_ZC3H3_2	promoter	38023	44645	52324
FP025011_ILF3_1	promoter	37545	110195	115308
FP022495_SPAG7_2	promoter	37160	42975	54231
FP005331_CELSR3_2	promoter	37116	45388	54167
FP002613_KCNH1_1	promoter	37105	43936	51081
FP023301_TUBG2_1	promoter	36726	45030	53659
FP015867_SPI1_2	promoter	36607	43986	53841
FP012207_BNIP3L_1	promoter	35943	41736	49826
FP001828_C1orf43_2	promoter	35714	41923	51628
FP024636_POLR2E_1	promoter	35635	42014	50633
FP002912_ZNF669_1	promoter	35597	40902	50890
FP008089_MRPS27_1	promoter	35552	42738	52710
FP009340_PPP1R11_1	promoter	35317	42778	52865
FP021084_LINS1_1	promoter	35110	41151	50701
FP023276_RAB5C_1	promoter	35046	40549	49366
FP009258_MRS2_1	promoter	34977	39934	48604
FP006238_SCHIP1_3	promoter	34633	40851	51012
FP011854_PDIA4_2	promoter	34542	40501	48630
FP026797_SNX5_1	promoter	34456	39498	49137
FP026798_MGME1_2	promoter	34389	41275	50524
FP011105_TMEM248_1	promoter	34360	40930	49592
FP014362_PDSS1_2	promoter	34338	41092	52898
FP009054_HNRNPH1_1	promoter	34082	41483	51559
FP001916_DAP3_1	promoter	33899	39550	47576
FP024951_FBXL12_3	promoter	33844	41369	50235
FP010591_WDR27_3	promoter	33826	39378	47071
FP007927_ZNF131_6	promoter	33764	36845	42258
FP028327_CCDC134_1	promoter	33640	38133	46380
FP028877_PHF8_1	promoter	33577	38435	46163
FP008687_RELL2_2	promoter	33536	40475	47428
FP003097_MAPRE3_1	promoter	33424	38939	45720
FP011086_ZNF92_1	promoter	33321	38798	48891
FP021611_NUPR1_1	promoter	33279	40235	49390
FP026015_ZC3H4_2	promoter	33269	36353	42509
FP013960_FAM78A_3	promoter	33235	38550	45284
FP006920_PAICS_3	promoter	33192	40178	48269
FP000990_TTC4_1	promoter	33170	41244	49480
FP013092_NFIB_5	promoter	33068	39703	49591
FP017226_CDCA3_1	promoter	32735	46049	53818
FP010039_ME1_1	promoter	32661	38102	43409
FP007403_SCLT1_1	promoter	32544	37988	45747
FP000809_SLC6A9_2	promoter	32360	37446	45963
FP017371_FAM234B_1	promoter	32316	41451	46155
FP009377_IER3_1	promoter	32289	37153	44525
FP019173_TEX29_1	promoter	32128	37455	44932
FP011913_ASIC3_1	promoter	32089	37892	44757
FP018918_GPALPP1_1	promoter	32049	37704	46088
FP026983_CPNE1_2	promoter	31996	37194	44406
FP005447_TEX264_1	promoter	31924	36691	42409
FP005062_NKIRAS1_1	promoter	31607	36846	47093
FP004610_ABCB6_1	promoter	31586	36269	44447
FP005431_TMEM115_1	promoter	31327	37665	45486
FP010385_TXLNB_2	promoter	31276	35094	41471
FP014983_POLL_1	promoter	31238	36894	43554
FP010737_ANKMY2_1	promoter	31222	35805	43955
FP006881_LNX1_2	promoter	31176	36256	44851
FP010245_GOPC_1	promoter	30929	36826	45037
FP000676_EPHA10_2	promoter	30834	35699	40140
FP018059_ATP23_1	promoter	30770	37098	43936
FP002328_DHX9_1	promoter	30680	35452	41563
FP027726_SPATC1L_1	promoter	30218	35029	44351
FP001535_CD58_1	promoter	30116	36431	42389
FP001013_FGGY_2	promoter	30018	34822	43430
FP015403_IGF2_6	promoter	29899	34277	41444
FP006057_NCK1_1	promoter	29895	34919	41214
FP016908_PHLDB1_2	promoter	29813	34350	40724
FP006502_TFRC_1	promoter	29813	35245	41284
FP000109_KCNAB2_3	promoter	29700	37984	42406
FP009776_UBR2_1	promoter	29552	35278	43342
FP004237_NFE2L2_1	promoter	29530	34446	41052
FP004896_BRPF1_1	promoter	29476	35891	43943
FP027107_SYS1_2	promoter	29470	34975	41990
FP021221_HAGH_2	promoter	29444	32972	40061
FP001657_ENSA_1	promoter	28787	32741	40200
FP019883_NRXN3_1	promoter	28760	34209	41487
FP025677_MRPS12_1	promoter	28755	34577	42514
FP010208_FAM229B_1	promoter	28600	34671	40739
FP017413_STRAP_1	promoter	28552	32334	39255
FP003739_MRPL30_2	promoter	28482	33728	40344
FP025625_ZNF571_3	promoter	28443	32672	37663
FP000546_SRSF4_1	promoter	28429	34186	41448
FP023604_STXBP4_1	promoter	28325	33264	41210
FP026569_ZNF8_1	promoter	28231	32470	39656
FP018539_RPLP0_1	promoter	28167	32573	40297
FP003523_MOB1A_1	promoter	28112	33289	41588
FP016110_NXF1_2	promoter	27974	32478	39138
FP009209_NOL7_1	promoter	27969	32564	41567
FP021054_CHD2_3	promoter	27863	33938	41728
FP019712_GPHN_1	promoter	27804	34118	37839
FP022357_C17orf97_1	promoter	27750	31865	38267
FP013244_RUSC2_3	promoter	27616	32970	41630
FP006637_NSG1_2	promoter	27495	32029	38456
FP011646_FAM3C_2	promoter	27439	33103	39793
FP008992_UIMC1_1	promoter	27438	31487	37264
FP018944_MED4_1	promoter	27223	31352	37292
FP003942_POTEI_1	promoter	27073	30284	34853
FP004092_RBMS1_4	promoter	27065	31275	37364
FP004403_SGO2_1	promoter	26863	31438	37511
FP025163_DDX39A_1	promoter	26856	31861	39963
FP025142_CCDC130_1	promoter	26826	32115	39293
FP008140_PDE8B_2	promoter	26795	31085	38385
FP000511_FAM76A_1	promoter	26449	31276	37151
FP027851_MAPK1_1	promoter	26371	30797	36030
FP014788_FAS_3	promoter	26337	31501	39561
FP020497_SCG3_1	promoter	26291	30926	38128
FP021202_PTX4_1	promoter	26285	31245	37520
FP028319_DESI1_1	promoter	26205	31207	37296
FP018296_CDK17_2	promoter	26171	31765	37770
FP019632_C14orf39_1	promoter	25999	29269	35910
FP018684_EP400_2	promoter	25873	30232	35282
FP016296_SART1_1	promoter	25812	31381	37776
FP013393_CEP78_1	promoter	25743	30432	35771
FP016050_RAB3IL1_2	promoter	25682	30249	37464
FP027938_GUCD1_1	promoter	25619	29745	37127
FP000940_ORC1_1	promoter	25610	29869	37923
FP015311_IFITM3_2	promoter	25596	28671	34505
FP000771_CFAP57_1	promoter	25486	29255	34995
FP027368_YTHDF1_1	promoter	25429	28987	34446
FP002784_COG2_1	promoter	25394	29793	35636
FP000825_RPS8_3	promoter	25378	29680	35762
FP011575_PNPLA8_1	promoter	25358	31170	37961
FP000199_EXOSC10_1	promoter	25347	29322	34530
FP011141_LAT2_2	promoter	25320	27812	33386
FP021788_FUS_1	promoter	25260	29961	37821
FP010948_STARD3NL_1	promoter	25226	29784	36422
FP002677_RAB3GAP2_1	promoter	25185	30053	36561
FP018627_PITPNM2_1	promoter	25052	29123	35551
FP000223_MTHFR_2	promoter	24984	28865	34521
FP015189_C10orf88_2	promoter	24804	30231	36544
FP002655_CENPF_1	promoter	24774	30350	37744
FP010082_RNGTT_1	promoter	24642	29531	36667
FP020638_PCLAF_5	promoter	24639	29814	35215
FP019676_ZBTB1_2	promoter	24491	42893	60547
FP018234_POC1B_1	promoter	24443	28544	35497
FP028837_PPP1R3F_1	promoter	24436	27277	31884
FP018945_SUCLA2_1	promoter	24310	29348	35053
FP022836_RAI1_2	promoter	24281	28394	34780
FP002823_IRF2BP2_2	promoter	24274	28330	35418
FP018355_HSP90B1_1	promoter	24208	28952	35736
FP019389_DHRS1_1	promoter	24104	29333	34999
FP003531_WDR54_1	promoter	24049	28204	32751
FP020320_VPS18_1	promoter	24031	28169	35399
FP000524_PTAFR_1	promoter	24002	27699	32827
FP014903_RRP12_2	promoter	23981	26979	32492
FP010717_PHF14_2	promoter	23977	27134	33214
FP014663_FAM149B1_1	promoter	23886	28756	35657
FP004974_RAF1_1	promoter	23840	28535	33871
FP000941_PRPF38A_1	promoter	23786	28987	36205
FP028176_SH3BP1_5	promoter	23777	27817	33545
FP024287_TAF4B_1	promoter	23699	28477	34980
FP012234_ELP3_1	promoter	23682	26815	32490
FP025976_DMWD_3	promoter	23618	27201	32287
FP022405_TSR1_1	promoter	23547	28602	35583
FP021692_INO80E_4	promoter	23485	33666	39683
FP016812_DLAT_1	promoter	23470	27610	33565
FP007118_CDS1_1	promoter	23385	27792	33228
FP012376_UBE2V2_1	promoter	23267	27905	33787
FP008053_SLC30A5_1	promoter	23174	27203	33523
FP010038_RWDD2A_1	promoter	22744	26055	30998
FP025397_ZNF714_3	promoter	22669	26793	33637
FP018246_NUDT4_1	promoter	22612	26209	30975
FP024087_MAFG_5	promoter	22566	26716	31757
FP027759_TUBA8_1	promoter	22537	26302	31683
FP026928_SNTA1_3	promoter	22533	26352	31707
FP009583_SLC39A7_1	promoter	22380	33439	40900
FP023272_DHX58_1	promoter	22287	26259	32588
FP022223_GAN_1	promoter	22260	27006	33720
FP009471_MSH5_1	promoter	22165	26022	31930
FP010010_TMEM30A_1	promoter	22100	26085	30766
FP024333_ZNF397_1	promoter	22056	26567	32333
FP025955_FOSB_2	promoter	21944	26061	32052
FP011652_IQUB_2	promoter	21934	26514	32330
FP016335_RBM14_2	promoter	21845	25129	30086
FP005001_CCDC174_1	promoter	21839	26135	33001
FP018425_FAM222A_1	promoter	21818	26492	34000
FP016237_MRPL49_1	promoter	21804	25851	31844
FP002942_RPS7_1	promoter	21738	25961	32878
FP022798_ZSWIM7_1	promoter	21694	25158	27850
FP028984_NONO_1	promoter	21636	25954	33112
FP023524_IGF2BP1_3	promoter	21580	42024	48018
FP003776_MFSD9_1	promoter	21569	24666	29715
FP006561_GAK_1	promoter	21548	24399	28350
FP025896_ZNF234_1	promoter	21495	26323	33690
FP017089_NCAPD3_1	promoter	21362	26794	34282
FP007056_STBD1_3	promoter	21349	24741	30622
FP019481_PNN_1	promoter	21257	25034	30078
FP014671_USP54_1	promoter	21143	24762	30852
FP022678_NAA38_4	promoter	21103	25118	29452
FP013120_ACER2_1	promoter	21069	24924	30135
FP011584_ZNF277_1	promoter	21010	24343	29996
FP004331_PMS1_1	promoter	21002	23846	27599
FP001246_LRRC8C_1	promoter	20946	24522	27874
FP014659_P4HA1_1	promoter	20771	24101	28026
FP015500_ARFIP2_1	promoter	20704	24160	28398
FP013711_C9orf43_1	promoter	20640	24206	29847
FP028303_CHADL_1	promoter	20624	25354	29708
FP013814_HSPA5_1	promoter	20581	24596	29428
FP009440_BAG6_4	promoter	20570	22455	27203
FP007505_ARFIP1_2	promoter	20507	24617	30092
FP010618_GET4_3	promoter	20386	23591	27628
FP004212_ATF2_1	promoter	20367	24216	30196
FP024583_ADNP2_1	promoter	20304	24346	29502
FP010022_SH3BGRL2_3	promoter	20263	22957	26890
FP010163_SNX3_1	promoter	20077	22980	28083
FP021670_PRRT2_6	promoter	20038	22777	26367
FP020526_RSL24D1_1	promoter	20030	23483	30814
FP024584_ADNP2_2	promoter	19941	28988	35288
FP008576_SLC35A4_2	promoter	19931	26056	29857
FP002674_EPRS_1	promoter	19846	23240	28414
FP024943_ZNF426_1	promoter	19833	23326	29266
FP011642_CPED1_3	promoter	19815	23218	29445
FP028961_KIF4A_1	promoter	19803	23473	28653
FP024810_DPP9_1	promoter	19779	23742	27730
FP005981_COPG1_1	promoter	19648	23185	28178
FP022221_GCSH_3	promoter	19521	22133	25952
FP013702_PRPF4_1	promoter	19510	22790	27898
FP022415_RAP1GAP2_1	promoter	19505	23190	27626
FP007991_GPBP1_1	promoter	19479	23145	27815
FP024676_UQCR11_2	promoter	19437	22737	27797
FP022842_GID4_2	promoter	19385	22452	27012
FP027292_STX16_5	promoter	19382	23580	28974
FP003921_UGGT1_2	promoter	19381	23424	28012
FP021553_PLK1_1	promoter	19272	22282	27590
FP023206_RARA_2	promoter	19228	22361	26723
FP000213_FBXO6_4	promoter	19176	22649	28433
FP005304_MAP4_2	promoter	19155	22072	26464
FP012425_SDCBP_1	promoter	19154	22930	26554
FP012092_VPS37A_1	promoter	19153	22946	27127
FP000110_KCNAB2_1	promoter	19148	22448	26617
FP002036_TAGLN2_1	promoter	19074	21679	25394
FP008833_G3BP1_1	promoter	19057	22197	27065
FP014895_SLIT1_2	promoter	19037	21989	27151
FP020035_BDKRB2_4	promoter	19010	23032	27931
FP010652_NUDT1_2	promoter	18980	21792	27423
FP012464_VCPIP1_1	promoter	18976	22052	28194
FP025806_RPS19_1	promoter	18969	22327	27637
FP021235_ZNF598_1	promoter	18866	21418	25575
FP009892_CENPQ_1	promoter	18847	22011	25879
FP005405_SEMA3B_3	promoter	18839	22776	28108
FP005381_MST1_1	promoter	18810	22372	26299
FP009512_SKIV2L_1	promoter	18729	20723	24935
FP019423_G2E3_1	promoter	18712	22591	28453
FP010974_HECW1_2	promoter	18706	21710	26600
FP010203_FYN_1	promoter	18466	21488	25477
FP000351_MUL1_1	promoter	18402	21753	25980
FP011663_ARF5_1	promoter	18326	22288	26139
FP014307_NSUN6_2	promoter	18321	21161	24997
FP023881_NT5C_1	promoter	18306	21718	26683
FP025861_ETHE1_1	promoter	18298	20274	24198
FP005406_SEMA3B_4	promoter	18283	21205	25981
FP010616_GET4_6	promoter	18165	21988	27157
FP009607_KIFC1_1	promoter	18149	21102	26419
FP005980_CNBP_1	promoter	17967	21507	25409
FP003875_CCDC93_1	promoter	17936	21536	25626
FP001524_TRIM33_2	promoter	17924	20777	25520
FP003234_SRSF7_1	promoter	17753	20745	26011
FP009703_CMTR1_3	promoter	17750	21609	25205
FP010926_TBX20_1	promoter	17737	20266	23754
FP010607_PDGFA_1	promoter	17719	20573	24871
FP009232_NUP153_1	promoter	17612	20254	25027
FP018660_SCARB1_2	promoter	17603	21240	25246
FP023202_RAPGEFL1_2	promoter	17557	20382	24176
FP015711_MPPED2_3	promoter	17535	21224	25344
FP022377_SLC43A2_2	promoter	17443	20391	24693
FP011804_MRPS33_1	promoter	17390	20544	24992
FP026095_PPP1R15A_1	promoter	17379	20851	26476
FP012820_RNF139_1	promoter	17356	20681	25176
FP005063_RPL15_1	promoter	17353	20782	25746
FP015538_RPL27A_1	promoter	17338	21121	26218
FP028989_OGT_1	promoter	17327	20478	24977
FP024678_TCF3_3	promoter	17301	19629	23277
FP019533_NIN_1	promoter	17300	21308	25184
FP020033_BDKRB2_8	promoter	17146	20751	24400
FP000073_PEX10_1	promoter	17109	19075	22036
FP000082_FAM213B_2	promoter	17001	20840	24254
FP007444_INPP4B_2	promoter	16988	20339	25239
FP021537_EEF2K_1	promoter	16927	19582	22930
FP023020_UTP6_1	promoter	16911	20336	25648
FP008452_C5orf15_1	promoter	16863	18964	22687
FP000845_PRDX1_1	promoter	16824	19355	23034
FP016338_SPTBN2_1	promoter	16791	19268	22266
FP003558_AUP1_2	promoter	16786	20719	25236
FP020673_RAB11A_1	promoter	16755	20209	25506
FP013835_LRSAM1_1	promoter	16740	19581	25256
FP005391_UBA7_2	promoter	16730	19752	23661
FP016548_EMSY_1	promoter	16729	20370	26483
FP000790_ST3GAL3_1	promoter	16712	19122	22773
FP021993_FBXL8_2	promoter	16691	18942	22440
FP002188_XCL1_3	promoter	16670	19455	24610
FP025270_PGLS_1	promoter	16660	19931	25033
FP015721_RCN1_4	promoter	16614	19188	22776
FP022912_NLK_1	promoter	16578	18972	23269
FP011423_PILRA_1	promoter	16573	19796	24142
FP011672_SND1_1	promoter	16549	18998	23298
FP003146_MRPL33_2	promoter	16544	19593	23425
FP021810_VPS35_1	promoter	16536	19234	22954
FP022039_NUTF2_1	promoter	16524	20666	24694
FP021770_STX4_1	promoter	16496	19172	24897
FP016235_TM7SF2_2	promoter	16467	19341	22767
FP007240_NFKB1_3	promoter	16458	20028	24785
FP019981_PRIMA1_2	promoter	16430	19299	23135
FP026153_RPL13A_1	promoter	16423	19458	24475
FP017586_SLC38A1_2	promoter	16419	19224	23309
FP019361_PSME2_2	promoter	16368	20249	25462
FP015134_PDZD8_1	promoter	16362	19151	22730
FP000998_PLPP3_4	promoter	16256	18928	23378
FP001523_CSDE1_1	promoter	16241	19544	23950
FP029156_FAM199X_2	promoter	16237	18947	22935
FP014932_GOT1_1	promoter	16235	19060	23088
FP019017_DIAPH3_2	promoter	16226	19317	23492
FP014142_FAM166A_1	promoter	16205	18991	23323
FP012992_GPT_1	promoter	16174	18847	22204
FP019837_JDP2_2	promoter	16140	19444	23999
FP018048_TSFM_2	promoter	16084	19573	24965
FP024600_FSTL3_1	promoter	16009	19108	22412
FP024921_NDUFA7_1	promoter	15997	18683	22520
FP001345_DBT_1	promoter	15888	17810	22150
FP003617_RNF181_1	promoter	15885	17926	22380
FP003158_FOSL2_1	promoter	15873	23155	27496
FP015360_PNPLA2_1	promoter	15853	19095	23513
FP011078_ZNF138_1	promoter	15829	19027	23989
FP009455_LY6G5B_1	promoter	15824	19253	24863
FP021347_CORO7_2	promoter	15794	19142	22864
FP022753_ADPRM_1	promoter	15769	18785	23356
FP012397_ATP6V1H_1	promoter	15752	18070	21194
FP000556_ZCCHC17_1	promoter	15741	17873	22087
FP006118_C3orf58_2	promoter	15717	18274	21587
FP004772_LRRFIP1_4	promoter	15695	18783	22387
FP005088_AZI2_1	promoter	15687	18123	21442
FP003705_ANKRD23_3	promoter	15683	18855	22214
FP005490_SEMA3G_1	promoter	15682	18260	22971
FP027673_RRP1B_1	promoter	15675	19102	22601
FP028566_OFD1_1	promoter	15673	18876	22882
FP013981_DDX31_2	promoter	15666	18786	22712
FP000684_SF3A3_1	promoter	15657	17802	21424
FP019480_TRAPPC6B_1	promoter	15626	18612	23144
FP001846_KCNN3_1	promoter	15589	19043	22468
FP022657_TP53_1	promoter	15541	18494	23132
FP024753_DOHH_2	promoter	15528	18784	23517
FP002782_GALNT2_1	promoter	15512	18320	20952
FP002581_CD55_1	promoter	15492	17913	21258
FP028178_PDXP_1	promoter	15470	18361	22438
FP021269_ATP6V0C_4	promoter	15469	17835	21057
FP006026_TMEM108_1	promoter	15460	18077	21873
FP016569_INTS4_1	promoter	15436	17806	21678
FP017975_NACA_1	promoter	15417	17205	21697
FP014760_SNCG_2	promoter	15353	18169	22901
FP022832_PEMT_2	promoter	15352	18364	22299
FP021536_VWA3A_2	promoter	15296	18838	23788
FP022804_UBB_2	promoter	15280	18530	23195
FP014501_VSTM4_2	promoter	15261	18590	22069
FP007011_ANKRD17_2	promoter	15247	18904	22401
FP006524_NCBP2_1	promoter	15246	17511	20345
FP018710_ZNF26_1	promoter	15219	18634	22128
FP002961_CPSF3_2	promoter	15214	17885	21426
FP014283_RSU1_1	promoter	15158	17722	21629
FP013071_UHRF2_1	promoter	15157	18316	22149
FP003498_SFXN5_3	promoter	15137	18412	23058
FP012583_C8orf59_1	promoter	15131	17556	21541
FP017694_LARP4_2	promoter	15109	17396	20052
FP015555_WEE1_1	promoter	15108	18031	21838
FP024999_PDE4A_3	promoter	15098	18026	22305
FP002142_RGS5_2	promoter	15079	17993	22244
FP010538_SOD2_2	promoter	15069	17240	20915
FP000652_TRAPPC3_1	promoter	15049	17399	19560
FP016241_CAPN1_4	promoter	14985	17888	21260
FP014003_RALGDS_6	promoter	14960	16879	19736
FP022949_KIAA0100_2	promoter	14944	17938	21701
FP008583_NDUFA2_1	promoter	14871	17588	21831
FP003690_CIAO1_1	promoter	14812	17403	20671
FP010449_NUP43_1	promoter	14755	17959	22278
FP011754_CREB3L2_1	promoter	14736	17415	21875
FP010101_CASP8AP2_1	promoter	14730	18683	23173
FP011883_REPIN1_4	promoter	14718	17201	21271
FP009654_ARMC12_2	promoter	14666	16955	20452
FP025101_TNPO2_2	promoter	14665	17205	21049
FP000066_PRKCZ_3	promoter	14647	16749	19552
FP006713_LAP3_1	promoter	14606	17690	20055
FP015085_GPAM_1	promoter	14591	16640	19517
FP026101_BAX_1	promoter	14588	17167	20527
FP007070_FRAS1_1	promoter	14576	17716	21706
FP016238_SYVN1_1	promoter	14555	17206	20261
FP011485_SH2B2_1	promoter	14521	17350	20301
FP024688_SCAMP4_1	promoter	14489	17136	20472
FP026833_CRNKL1_1	promoter	14484	16875	20694
FP024912_SNAPC2_1	promoter	14471	17286	20631
FP012179_CHMP7_2	promoter	14430	17517	21949
FP015056_GSTO2_1	promoter	14397	18077	22104
FP005117_TRIM71_1	promoter	14328	16772	20214
FP005732_TFG_1	promoter	14324	16461	20036
FP019318_PABPN1_3	promoter	14254	16079	20072
FP029174_NUP62CL_1	promoter	14154	16609	20502
FP026470_ZNF581_3	promoter	14120	17040	20174
FP025106_IER2_1	promoter	14033	16872	20408
FP011343_ARPC1A_3	promoter	14009	16123	20365
FP000338_TMCO4_3	promoter	14002	16158	19416
FP024249_SNRPD1_1	promoter	13988	16208	19378
